datetime,host,src,proto,type,spt,dpt,srcstr,country,locale,latitude,longitude
3/8/13 1:11,groucho-tokyo,1398184219,TCP,,2065,23,83.86.153.27,Netherlands,South Holland,52.1763,4.5282
3/8/13 1:12,groucho-tokyo,1393252776,TCP,,4667,23,83.11.89.168,Poland,Kujawsko-Pomorskie,52.5931,19.0894
3/8/13 1:14,groucho-sa,3662430566,ICMP,8,,,218.76.65.102,China,Hunan,28.1792,113.1136
3/8/13 1:14,groucho-sa,3662430566,ICMP,8,,,218.76.65.102,China,Hunan,28.1792,113.1136
3/8/13 1:16,groucho-tokyo,411470328,TCP,,3422,23,24.134.137.248,Germany,Lower Saxony,53.5568,8.1266
3/8/13 1:16,groucho-oregon,1965684442,TCP,,63083,1433,117.41.246.218,China,Jiangxi Sheng,28.55,115.9333
3/8/13 1:17,groucho-tokyo,3740374668,TCP,,63727,1433,222.241.150.140,China,Hunan,28.1792,113.1136
3/8/13 1:18,groucho-tokyo,1033070475,TCP,,6000,1433,61.147.103.139,China,Jiangsu Sheng,32.0617,118.7778
3/8/13 1:19,groucho-tokyo,1598862399,TCP,,3221,445,95.76.180.63,Romania,Judetul Buzau,45.15,26.8333
3/8/13 1:20,groucho-tokyo,1598862399,TCP,,3221,445,95.76.180.63,Romania,Judetul Buzau,45.15,26.8333
3/8/13 1:20,groucho-tokyo,1017974347,TCP,,6000,8080,60.173.14.75,China,Anhui Sheng,31.8639,117.2808
3/8/13 1:21,groucho-eu,2008579082,ICMP,8,,,119.184.124.10,China,Shandong Sheng,36.6683,116.9972
3/8/13 1:21,groucho-eu,2008579082,ICMP,8,,,119.184.124.10,China,Shandong Sheng,36.6683,116.9972
3/8/13 1:21,groucho-singapore,3550209755,TCP,,58799,22,211.155.230.219,China,Beijing Shi,39.9289,116.3883
3/8/13 1:21,groucho-us-east,1490075809,TCP,,53480,80,88.208.192.161,United Kingdom,Gloucestershire,51.8333,-2.25
3/8/13 1:21,groucho-us-east,1490075809,TCP,,53480,80,88.208.192.161,United Kingdom,Gloucestershire,51.8333,-2.25
3/8/13 1:21,groucho-us-east,1490075809,TCP,,53480,80,88.208.192.161,United Kingdom,Gloucestershire,51.8333,-2.25
3/8/13 1:22,groucho-sa,3425533452,ICMP,3,,,204.45.126.12,United States,Colorado,39.7525,-104.9995
3/8/13 1:23,groucho-tokyo,3290839612,TCP,,34271,3389,196.38.58.60,South Africa,,-29,24
3/8/13 1:23,groucho-tokyo,3290839612,TCP,,34272,3389,196.38.58.60,South Africa,,-29,24
3/8/13 1:24,groucho-tokyo,2080814427,UDP,,27534,33357,124.6.181.91,Philippines,Province of Batangas,13.7567,121.0584
3/8/13 1:27,groucho-oregon,3736745024,TCP,,6000,1433,222.186.52.64,China,Jiangsu Sheng,32.0617,118.7778
3/8/13 1:27,groucho-us-east,387368894,TCP,,58376,80,23.22.199.190,United States,Virginia,39.0437,-77.4875
3/8/13 1:27,groucho-us-east,387368894,TCP,,58376,80,23.22.199.190,United States,Virginia,39.0437,-77.4875
3/8/13 1:27,groucho-us-east,387368894,TCP,,58376,80,23.22.199.190,United States,Virginia,39.0437,-77.4875
3/8/13 1:29,groucho-singapore,1033070453,TCP,,6000,1433,61.147.103.117,China,Jiangsu Sheng,32.0617,118.7778
3/8/13 1:30,groucho-tokyo,2905439638,TCP,,1992,445,173.45.125.150,United States,Ohio,40.0842,-82.9378
3/8/13 1:30,groucho-tokyo,2905439638,TCP,,1992,445,173.45.125.150,United States,Ohio,40.0842,-82.9378
3/8/13 1:30,groucho-singapore,1917896806,TCP,,6000,1433,114.80.200.102,China,Shanghai Shi,31.0456,121.3997
3/8/13 1:32,groucho-oregon,3736745005,TCP,,6000,1433,222.186.52.45,China,Jiangsu Sheng,32.0617,118.7778
3/8/13 1:32,groucho-oregon,1991918662,TCP,,6000,1433,118.186.68.70,China,Beijing Shi,39.9289,116.3883
3/8/13 1:33,groucho-oregon,3689613419,TCP,,6000,1433,219.235.8.107,China,Beijing Shi,39.9289,116.3883
